male,female,infancy,childhood,adolescence,adulthood,elderly,Total
173,217,22,31,10,239,88,390
228,261,23,61,24,307,74,489
219,243,27,76,25,257,77,462
204,271,17,49,16,287,106,475
236,262,29,32,52,301,84,498
190,224,14,37,10,263,90,414
220,236,30,41,18,275,92,456
229,253,22,47,14,296,103,482
183,220,20,54,15,229,85,403
151,188,13,45,18,212,51,339
197,216,19,36,21,247,90,413
201,238,26,53,24,250,86,439
189,237,20,58,24,243,81,426
195,208,22,32,20,248,81,403
190,211,20,27,16,246,92,401
198,245,16,52,16,294,65,443
186,229,27,50,26,238,74,415
198,225,18,39,13,247,106,423
194,221,21,34,11,252,97,415
187,226,9,31,15,281,77,413
172,229,13,29,17,250,92,401
186,253,17,24,21,284,93,439
197,200,15,44,32,232,74,397
178,203,16,55,20,233,57,381
180,251,17,46,22,267,79,431
192,265,27,35,11,288,96,457
181,248,14,27,10,285,93,429
154,196,14,27,11,213,85,350
199,218,24,22,15,259,97,417
212,267,19,54,24,290,92,479
